NoUrut,IdData,Data,Data Inggris,Label,HasilSegmen,DataAsliOptimal,DataAsliGreedy,DataEditOptimal,DataEditGreedy
26,1,"Selain anamnesis dan pemeriksaan fisis, dokter mungkin menyarankan pemeriksaan penunjang bila ditemukan indikasi, misalnya: ultrasonografi (USG) kandungan, pemeriksaan darah, atau CT - scan","In addition to the history and physical examination, the doctor may recommend additional investigations if indicated, for example: obstetric ultrasound (USG), blood tests, or CT scan",F5,4,2,2,4,4
27,1,"Untuk membantu redakan keluhan, Anda disarankan untuk melakukan langkah - langkah sederhana berikut ini: Istirahat yang cukup","To help relieve complaints, you are advised to take the following simple steps: Get enough rest",F5,5,1,1,5,5
28,1,"Jaga berat badan dalam rentang normal, Makan makanan bergizi seimbang secara teratur","Keep weight within normal range, Eat balanced nutritious food regularly",F5,6,7,7,6,6
29,1,Rutin melakukan latihan fisik atau olahraga,Doing regular physical exercise or sports,F5,6,7,7,6,6
30,1,Minum air putih paling tidak 8 gelas sehari Manajemen stres dengan baik,Drink at least 8 glasses of water a day Stress management well,F5,6,7,7,6,6
31,1,"Untuk memperkaya wawasan, Anda dapat membaca artikel tentang gangguan menstruasi","To enrich your knowledge, you can read articles about menstrual disorders",F5,6,7,7,6,6
32,1,Demikian informasi dari kami,This is our information,F1,6,7,7,6,6
33,1,Mudah - mudahan senantiasa sehat,I hope you are always healthy,F1,6,7,7,6,6
34,1,Semoga bermanfaat,May be useful,F1,6,7,7,6,6
35,2,"Selamat pagi, terima kasih atas pertanyaannya","Good morning, thanks for the question",F1,0,3,3,0,0
36,2,Reumatoid artritis (RA) merupakan penyakit autoimun dimana sistem kekebalan tubuh yang menyerang persendian sehingga menyebabkan peradangan kronis,"Rheumatoid arthritis (RA) is an autoimmune disease in which the body's immune system attacks the joints, causing chronic inflammation",F3,0,3,3,0,0
37,2,Obat anti inflamasi kortikosteroud dan nonsteroid digunakan untuk mengendalikan gejala RA,Corticosteroid and non - steroidal anti - inflammatory drugs are used to control the symptoms of RA,F3,0,3,3,0,0
38,2,Namun untuk mengontrol perkembangan penyakit perlu diberikan obat golongan disease - modifying antirheumatic drugs (DMARDs) seperti metotreksat,"However, to control disease progression, it is necessary to give disease - modifying antirheumatic drugs (DMARDs) such as methotrexate",F3,1,1,2,1,1
39,2,Keduanya merupakan obat utama pada terapi RA ini,Both are the main drugs in this RA therapy,F3,2,1,2,2,1
40,2,"DMARDs dapat mempengaruhi perkembangan penyakit, tetapi membutuhkan waktu 4 - 6 bulan lamanya untuk mendapatkan respon terapi penuh","DMARDs can influence disease progression, but take 4 - 6 months to fully respond to therapy",F3,3,2,2,3,2
41,2,Namun penggunaan metotreksat harus dibawah monitoring oleh dokter karena dalam jangka waktu panjang dapat mengakibatkan gangguan berbagai organ seperti penurunan fungsi hati dan ginjal,"However, the use of methotrexate must be monitored by a doctor because in the long term it can cause various organ disorders such as decreased liver and kidney function",F3,3,2,2,3,2
42,2,"Sehingga pemberian DMARDs sebaiknya dilakukan setelah diagnosis, perkembangan dan keparahan penyakit sudah dipastikan dan tidak semua pasien dapat diberikan","Thus, DMARDs should be administered after the diagnosis, progression and severity of the disease have been confirmed and not all patients can be given",F3,4,2,1,4,3
43,2,Umumnya pada tahap awal hanya diberikan anti inflamasi non steroid kemudian dilakukan evaluasi respon pengobatan,"Generally, in the early stages only non - steroidal anti - inflammatory drugs are given and then the response to treatment is evaluated",F3,4,2,1,4,3
44,2,Lakukanlah konsultasi dengan dokter untuk mendapatkan terapi yang tepat sesuai dengan kondisi medis anda,Consult a doctor to get the right therapy according to your medical condition,F5,5,2,2,5,4
45,2,"Sekian, semoga dapat membantu Wassalam","That's all, hopefully it can help Wassalam",F1,5,2,2,5,5
46,3,"Halo Friscilla, terima kasih ya sudah bertanya di Alodokter","Hello Friscilla, thank you for asking on Alodokter",F1,0,5,5,0,0
47,3,"Membaca keluhan yang anda alami, keluhan tersebut memang dapat saja disebabkan oleh efek samping suplemen yang anda konsumsi (terutama jika suplemen tersebut bukan direkomendasikan oleh dokter dan belum banyak penelitian yang jelas mengenai suplemen tersebut), tetapi dapat pula disebabkan oleh beberapa kemungkinan kondisi lain seperti : Radang usus Irritable bowel syndrome (IBS) Infeksi saluran cerna Sindrom dispepsia","Reading the complaints you are experiencing, these complaints can indeed be caused by side effects of the supplements you are taking (especially if the supplements are not recommended by a doctor and there are not many clear studies on these supplements), but they can also be caused by several other possible conditions such as: Inflammation of the intestines Irritable bowel syndrome (IBS) Gastrointestinal infections Dyspepsia syndrome",F4,0,5,5,0,0
48,3,"Sementara ini, sangat disarankan untuk menghentikan terlebih dahulu konsumsi suplemen penambah nafsu makan tersebut jika memang bukan disarankan oleh dokter dan beralih dengan mengubah pola pikir, pandangan dan makanan anda sehari - hari","In the meantime, it is highly recommended to stop taking these appetite - enhancing supplements first if it is not recommended by a doctor and switch to changing your mindset, outlook and daily diet",F5,0,5,5,0,0
49,3,"Anda diperbolehkan saja untuk mengonsumsi makanan yang enak sesekali untuk memicu nafsu makan anda, tetapi tetap imbangi dengan makanan yang sehat setiap harinya, terutama asupan sayur dan buah","You are allowed to eat delicious food every now and then to trigger your appetite, but keep it balanced with healthy foods every day, especially the intake of vegetables and fruit",F5,0,5,5,0,0
50,3,"Untuk mengatasi keluhan anda, anda diperbolehkan saja mengonsumsi obat diare (khususnya untuk memadatkan tinja) sesuai dengan dosis yang ada pada kemasan serta diimbangi dengan menghindari makanan yang sekiranya dpat mengiritasi saluran cerna seperti makanan yang asam dan pedas","To overcome your complaints, you are allowed to take diarrhea medicine (especially to solidify stools) according to the dosage on the package and balanced by avoiding foods that can irritate the digestive tract such as acidic and spicy foods",F5,0,5,5,0,0
51,3,"Selain itu, disarankan pula untuk selalu menjaga kebersihan makanan, minuman serta alat makan anda setiap harinya untuk menghindrai terjadinya infeksi pada saluran cerna, lakukan olahraga secara rutin minimal 30 menit per hari sesuai kemampuan anda dan kelola stres dengan baik","In addition, it is also recommended to always maintain the cleanliness of your food, drink and eating utensils every day to avoid infections in the gastrointestinal tract, do exercise regularly at least 30 minutes per day according to your ability and manage stress well",F5,1,2,2,1,1
52,3,Semoga membantu,I hope this helps,F1,1,2,2,1,1
53,4,"Halo, terima kasih atas pertanyaannya untuk Alodokter","Hello, thanks for the question for Alodokter",F1,0,2,2,0,0
54,4,Pada dasarnya masalah pada lambung ada bermacam - macam jenisnya,"Basically, there are various types of gastric problems",F3,0,2,2,0,0
55,4,"Bila yang anda maksudkan adalah penyakit asam lambung (GERD), maka umumnya nyeri yang dirasakan adalah nyeri pada ulu hati dan rasa terbakar pada dada","If you mean acid reflux disease (GERD), then generally the pain you feel is pain in the pit of the stomach and a burning feeling in the chest",F3,1,6,6,1,1
56,4,Gangguan lambung jarang menimbulkan nyeri hingga ke punggung dan tidak akan menimbulkan nyeri pada tengkuk leher belakang,Gastric disorders rarely cause pain to the back and will not cause pain in the back of the neck,F3,1,6,6,1,1
57,4,"Gangguan pada pankreas dan juga saluran empedu mungkin menyebabkan nyeri yang bisa menjalar ke punggung dan kadang bisa ke bahu juga, namun biasanya tidak akan dirasakan hingga ke leher belakang","Disorders of the pancreas and bile ducts may cause pain that can radiate to the back and sometimes the shoulders as well, but usually won't be felt down to the back of the neck",F3,1,6,6,1,1
58,4,Sebaiknya cobalah ceritakan dengan lebih jelas gejala - gejala apa saja yang anda alami agar kami bisa menganalisis lebih lanjut kemungkinan - kemungkinan penyebabnya,We recommend that you try to explain more clearly what symptoms you are experiencing so that we can analyze further the possible causes,F5,1,6,6,1,1
59,4,Untuk mendiagnosis penyakit sebenarnya perlu dilakukan anamnesis (wawancara medis) yang mendalam dan juga pemeriksaan fisik dan pemeriksaan penunjang,"To diagnose the actual disease, it is necessary to take an in - depth history (medical interview) as well as a physical examination and supporting examinations",F5,1,6,6,1,1
60,4,"Namun di masa pandemi virus corona seperti sekarang, anda diharapkan untuk tidak pergi ke dokter kecuali dalam keadaan yang benar - benar mendesak","But during the corona virus pandemic like now, you are expected not to go to the doctor unless it's in a really urgent situation",F3,1,6,6,1,1
61,4,"Bila anda mengalami gejala - gejala penyakit asam lambung (misalnya anda merasa mual, kembung, nyeri ulu hati, rasa panas di dada, rasa mengganjal di tenggorok)","If you experience symptoms of acid reflux disease (eg you feel nauseated, bloated, heartburn, heartburn, chest pain, lump in throat)",F3,2,1,1,2,2
62,4,"Berikut ini adalah beberapa hal yang bisa anda coba lakukan: Makan lebih sedikit - sedikit namun lebih sering, kunyah makanan anda hingga halus baru telan","Here are some things you can try to do: Eat less - less but more often, chew your food until smooth and then swallow",F5,3,4,5,3,3
63,4,Hindari makan terlalu banyak dan hindari berbaring setelah makan,Avoid eating too much and avoid lying down after eating,F5,3,4,5,3,3
64,4,Tinggikan sandaran kepala anda saat tidur,Elevate your headrest while sleeping,F5,3,4,5,3,3
65,4,"Hindari makan makanan yang terlalu berlemak / berminyak, terlalu pedas dan terlalu asam, serta hindari makan maknana yang banyak menghasilkan gas untuk sementara waktu","Avoid eating foods that are too fatty / oily, too spicy and too sour, and avoid eating meanings that produce a lot of gas for a while",F5,3,4,5,3,3
66,4,"Hindari merokok, minum alkohol dan juga kopi","Avoid smoking, drinking alcohol and coffee",F5,4,3,5,4,4
67,4,Turunkan berat badan bila terdapat berat badan berlebih,Lose weight if you are overweight,F5,4,3,2,4,4
68,4,"Sekian informasi dari saya, semoga cukup menjawab","That's all the information from me, I hope it's enough to answer",F1,4,3,2,4,4
69,5,Halo saudara Eva,Hello brother Eva,F1,0,1,1,0,0
70,5,Pemberian makanan pendamping ASI (MPASI) terlalu dini pada anak memiliki banyak dampak bagi anak,Giving complementary foods to breast milk (MPASI) too early in children has many impacts on children,F3,1,3,3,1,1
71,5,"Beberapa risiko yang dapat terjadi apabila diberikan terlalu dini yaitu adanya risiko aspirasi (masuknya makanan ke jalan pernafasan bayi), bayi tidak mendapatkan asupan makanan yang cukup dan tidak memiliki daya tahan tubuh yang bagus, risiko kelebihan berat badan, dan gangguan pencernaan pada bayi seperti Necrotizing enterocolitis (kerusakan usus halus), intoleransi laktosa, alergi susu sapi, dan sebagainya","Some of the risks that can occur if given too early are the risk of aspiration (entry of food into the baby's respiratory tract), the baby does not get enough food intake and does not have a good immune system, the risk of being overweight, and digestive disorders in infants such as necrotizing enterocolitis (small intestine damage), lactose intolerance, cow's milk allergy, and so on",F3,1,3,3,1,1
72,5,Hal ini dikarenakan bayi memerlukan waktu untuk mendapatkan fungsi pencernaan yang bagus bagi dirinya,This is because babies need time to get good digestive function for themselves,F3,1,3,3,1,1
73,5,Apabila diberikan terlalu dini organ pencernaan tidak akan mampu untuk mengolah makanan tersebut dan berdampak buruk bagi bayi,If given too early the digestive organs will not be able to process the food and have a bad impact on the baby,F3,2,1,1,2,2
74,5,"Berhati - hatilah apabila bayi Anda terus rewel dan menangis, BAB berdarah, perut kembung, mencret, atau lemas","Be careful if your baby continues to fuss and cry, bloody stools, flatulence, diarrhea, or weakness",F3,3,7,6,3,3
75,5,Hal ini dapat menjadi tanda bahwa terjadi sesuatu bagi bayi Anda,This can be a sign that something is up for your baby,F3,3,7,6,3,3
76,5,"Kembalilah menggunakan ASI, karena ASI adalah makanan utama bagi bayi bawah 6 bulan","Go back to using breast milk, because breast milk is the main food for babies under 6 months",F3,3,7,6,3,3
77,5,ASI memiliki banyak manfaat bagi ibu dan bayi,Breast milk has many benefits for both mother and baby,F3,3,7,6,3,3
78,5,"Bagi ibu ASI dapat meningkatkan bounding antara bayi dan ibu, menghambat kesuburan sehingga dapat dipergunakan sebagai kontrasepsi alami, serta murah karena tidak memerlukan biaya","For mothers, breastfeeding can increase the bonding between baby and mother, inhibit fertility so that it can be used as a natural contraception, and is cheap because it does not require money",F3,3,7,6,3,3
79,5,"Sedangkan bagi bayi ASI dapat meningkatkan sistem kekebalan tubuh, berat badan ideal, dan tulang lebih kuat","As for breastfed babies, it can improve the immune system, ideal body weight, and stronger bones",F3,3,7,6,3,3
80,5,"Berikanlah ASI eksklusif selama 6 bulan, baru diberikan makanan pendamping ASI","Give exclusive breastfeeding for 6 months, then give complementary foods",F5,3,7,3,3,3
81,5,Anda dapat membaca link berikut untuk menambah wawasan Urutan pemberian makanan pendamping ASI pada anak,You can read the following link to add insight into the order in which complementary feeding to breast milk is given to children,F5,4,2,3,4,4
82,5,"Semoga bermanfaat, terima kasih","Hopefully useful, thank you",F1,4,2,3,4,4
83,6,Halo Terima kasih atas pertanyaannya pada Alodokter,"Hello, Thank you for the question to Alodokter",F1,0,2,2,0,0
84,6,Obat prednicort memiliki kandungan aktif methylprednisolone yang termasuk kedalam golongan obat kortikosteroid,Prednicort drug contains the active ingredient methylprednisolone which belongs to the class of corticosteroid drugs,F3,0,2,2,0,0
85,6,"Golongan obat ini bekerja dengan menekan sistem kekebalan tubuh dan mengurangi reaksi peradangan serta gejalanya, seperti pembengkakan, nyeri, atau ruam","This class of drugs works by suppressing the immune system and reducing the inflammatory reaction and its symptoms, such as swelling, pain, or rash",F3,1,3,3,1,1
86,6,"Obat ini memang memiliki efek samping salah satunya pada sistem pencernaan yaitu mual, muntah, dan nyeri pada daerah ulu hati","This drug does have side effects, one of which is on the digestive system, namely nausea, vomiting, and pain in the pit of the stomach",F6,1,3,3,1,1
87,6,Jadi sebaiknya obat ini dikonsumsi sekitar 1 jam setelah makan untuk mengurangi efek samping tersebut,So you should take this drug about 1 hour after eating to reduce these side effects,F6,1,3,3,1,1
88,6,"Obat Alloris memiliki kandungan aktif loratadine yang termasuk kedalam golongan obat antihistamin yang dapat meredakan gejala alergi seperti bersin - bersin, ruam kulit, pilek, akibat paparan alergen seperti debu dan lain sebagainya","Alloris medicine contains the active ingredient loratadine which is included in the antihistamine drug class which can relieve allergy symptoms such as sneezing, skin rashes, runny nose, due to exposure to allergens such as dust and so on",F3,2,7,7,2,2
89,6,Loratadine ini biasanya akan menimbulkan efek lelah atau mengantuk,This loratadine will usually cause a tired or sleepy effect,F6,2,7,7,2,2
90,6,Jadi sebaiknya bila setelah mengonsumsi obat ini hindarilah untuk berpergian terutama bila mengendarai kendaraan bermotor sendiri,"So it's best if after taking this drug, avoid traveling, especially when driving your own motorized vehicle",F6,2,7,7,2,2
91,6,Kedua obat yang Anda konsumsi sebenarnya merupakan obat simptomatik yang artinya boleh dihentikan penggunaannya bila dosis yang diberikan oleh dokter Anda sudah terpenuhi atau gejala yang timbul sudah hilang,"The two drugs you are taking are actually symptomatic drugs, which means you may stop using them if the dose given by your doctor has been met or the symptoms have disappeared",F3,2,7,7,2,2
92,6,Jadi tidak perlu dikonsumsi secara terus menerus,So it doesn't need to be consumed continuously,F3,2,7,7,2,2
93,6,"Untuk keluhan pada lambung, kemungkinan disebabkan oleh obat yang mengandung kortikosteroid, jadi sebaiknya konsumsilah setelah atau saat bersamaan dengan makanan untuk meminimalisir efek samping tersebut","For stomach complaints, it may be caused by drugs containing corticosteroids, so you should consume them after or at the same time as food to minimize these side effects",F5,2,7,7,2,2
94,6,Sekian informasi yang dapat kami sampaikan,That's all the information we can convey,F1,2,7,7,2,2
95,6,Semoga bermanfaat dr Winda Indriati,"Hopefully useful, dr Winda Indriati",F1,3,1,1,3,3
96,7,Halo Jovan,Hello Jovan,F1,0,3,3,0,0
97,7,"Untuk menghitung usia kehamilan bukan dengan tanggal menikah, tetapi dihitung dengan hari pertama menstruasi terakhir (HPMT)","To calculate gestational age, not by the date of marriage, but by the first day of the last menstrual period (LMP)",F3,0,3,3,0,0
98,7,"Sebagai contoh, seseorang yang menikah tanggal 28 november, tetapi HPMT nya tanggal 10 november, maka kehamilannya akan dihitung sejak 10 november","For example, someone who gets married on November 28, but his HPMT is on November 10, then his pregnancy will be counted from November 10",F3,0,3,3,0,0
99,7,"Contoh lainnya wanita yang baru menikah 2 minggu, bisa saja dikatakan sudah hamil 5 minggu karena perhitungannya menurut HPMT dan bukan menurut tanggal menikah","Another example is a woman who has only been married for 2 weeks, it can be said that she is 5 weeks pregnant because the calculation is according to the HPMT and not according to the date of marriage",F3,1,5,5,1,1
100,7,Hal tersebut normal,It's normal,F3,1,5,5,1,1
101,7,Untuk persalinan normal sendiri bisa terjadi pada usia kehamilan 37 - 40 minggu dengan toleransi waktu sampai 42 minggu,Normal delivery itself can occur at 37 - 40 weeks of gestation with a tolerance of up to 42 weeks,F3,1,5,5,1,1
102,7,Sedangkan hari perkiraan lahir / HPL yang terhitung melalui rumus HPMT adalah 40 minggu,While the estimated day of birth / HPL calculated through the HPMT formula is 40 weeks,F3,1,5,5,1,1
103,7,"Sebagai contoh pada orang yang HPL nya 28 november, bisa saja melahirkan secara normal 3 minggu sebelum HPL nya","For example, in people whose HPL is November 28, they can give birth normally 3 weeks before their HPL",F3,1,5,5,1,1
104,7,Dengan demikian kami tidak bisa menyimpulkan jawaban dari pertanyaan Anda karena data yang diberikan kurang lengkap,"Thus, we cannot conclude the answer to your question because the data provided is incomplete",F3,2,4,4,2,2
105,7,"Anda bisa mencoba menghitung HPL dan usia kehamilan teman Anda dengan kalkulator kehamilan yang banyak tersedia di internet, misalnya klik DI SINI","You can try to calculate your friend's HPL and gestational age with pregnancy calculators that are widely available on the internet, for example, click HERE",F5,2,4,4,2,2
106,7,Berikut ini artikel yang berhubungan dengan topik pertanyaan Anda: Menghitung usia kehamilan,The following article relates to the topic of your question: Calculating gestational age,F5,2,4,4,2,2
107,7,"Terima kasih dan semoga membantu, dr Devika Y","Thank you and hope it helps, Dr Devika Y",F1,2,4,4,2,2
108,8,Terima kasih Rahmadina atas pertanyaannya,Thank you Rahmadina for the question,F1,0,3,3,0,0
109,8,Jatuhnya anda sudah terjadi 10 tahun yang lalu,Your fall happened 10 years ago,F2,0,3,3,0,0
110,8,Yang ditakutkan dari cedera kepala adalah terjadinya perdarahan di dalam tengkorak sehingga menyebabkan meningkatnya tekanan dalam tengkorak,"The fear of a head injury is bleeding in the skull, causing increased pressure in the skull",F4,0,3,3,0,0
111,8,"Meningkatnya tekanan di dalam tengkorak dapat menyebabkan sakit kepala, mual, muntah, penurunan kesadaran bahkan sampai meninggal","Increased pressure inside the skull can cause headaches, nausea, vomiting, loss of consciousness and even death",F3,1,3,3,1,1
112,8,"Namun tentu saja bila memang terjadi perdarahan di dalam tengkorak, gejala tersebut akan muncul sebelum 10 tahun","But of course if there is bleeding inside the skull, these symptoms will appear before 10 years",F3,1,3,3,1,1
113,8,Pemeriksaan EEG adalah pemeriksaan untuk melihat aktivitas listrik di otak,EEG examination is an examination to see the electrical activity in the brain,F3,1,3,3,1,1
114,8,"Pada orang yang epilepsi, akan terlihat aktivitas gelombang listrik yang meningkat","In people with epilepsy, you will see increased electrical wave activity",F3,2,1,1,2,2
115,8,"Bila memang aktivitas listrik dalam otak anda normal tetapi anda masih mengalami keluhan - keluhan tersebut, sebaiknya anda memeriksakan diri kembali ke dokter spesialis saraf","If indeed the electrical activity in your brain is normal but you still experience these complaints, you should check yourself back with a neurologist",F3,3,1,2,3,3
116,8,Kemungkinan anda akan dilakukan pencitraan pada kepala,Chances are you will have an imaging done on the head,F3,4,7,2,4,4
117,8,"Karena hal - hal yang dapat meningkatkan tekanan di dalam tengkorak tidak hanya perdarahan, tetapi juga tumor, infeksi","Because things that can increase the pressure inside the skull are not only bleeding, but also tumors, infections",F3,4,7,6,4,4
118,8,"Selain itu, gejala yang anda keluhkan, bisa juga akibat adanya kelainan pembuluh darah di otak (arteri venous malformation / AVM)","In addition, the symptoms you are complaining about, could also be due to a blood vessel abnormality in the brain (arterial venous malformation / AVM)",F3,4,7,6,4,4
119,8,Di mana hal yang ditakutkan dari AVM adalah pecahnya pembuluh darah tersebut,Where the fear of AVM is the rupture of the blood vessel,F3,4,7,6,4,4
120,8,"Selain hal yang telah disebutkan di atas, penyebab sakit kepala juga dapat berupa : 1 Sakit kepala tipe tegang","In addition to the things mentioned above, the causes of headaches can also be: 1 Tension - type headaches",F3,4,7,6,4,4
121,8,2 Sakit kepala tipe klaster,2 Cluster - type headaches,F3,4,7,6,4,4
122,8,3 Migraine,3 Migraine,F3,4,7,6,4,4
123,8,4 dan lain - lain,4 and others,F3,5,2,2,5,5
124,8,Anda dapat membacanya di sini: sakit kepala (1) dan sakit kepala,You can read about it here: headache (1) and headache,F3,5,2,2,5,5
125,8,(2) Menjawab pertanyaan anda mengenai IKALEP,(2) Answering your questions about IKALEP,F3,6,5,5,6,6
126,8,IKALEP adalah sebuah obat yang berisi asam valproat,IKALEP is a drug that contains valproic acid,F3,6,5,5,6,6
127,8,"Asam valproat memang sering digunakan untuk pasien epilepsi, namun, asam valproat juga mempunyai efek sebagai pencegah serangan migraine","Valproic acid is often used for epilepsy patients, however, valproic acid also has the effect of preventing migraine attacks",F3,6,5,5,6,6
128,8,Untuk lebih detailnya anda dapat menghubungi kembali dokter spesialis saraf anda,"For more details, you can contact your neurologist again",F3,6,5,5,6,6
129,8,"Sementara itu di rumah, sebaiknya anda beristirahat yang cukup, memperhatikan faktor - faktor apa saja yang membuat sakit kepala anda kumat","Meanwhile at home, you should get enough rest, pay attention to what factors make your headaches recur",F5,6,5,5,6,6
