word,doc_freq
imbang,4
diare,4
manfaat,4
tenggorok,4
capai,4
cari,4
istirahat,4
paska,4
hitung,4
plasenta,4
jaring,4
ovulasi,4
endometriosis,4
alas,4
picu,4
krim,4
arti,4
gagal,4
tindak,4
aktif,4
sisa,4
anggur,4
stroke,4
polip,4
otot,4
diabetes,4
testpack,4
reproduksi,4
contoh,4
nafas,4
sesak,4
sembarang,3
ml,3
punggung,3
angkat,3
feses,3
derajat,3
baca,3
konfirmasi,3
aktifitas,3
agam,3
prosedur,3
kontak,3
serang,3
beli,3
diagnosis,3
kunjung,3
bahan,3
segar,3
hijau,3
formula,3
mata,3
gumpal,3
es,3
pecah,3
teh,3
usaha,3
pil,3
posisi,3
manis,3
tb,3
bawa,3
pulih,3
stres,3
landas,3
asap,3
kerongkongan,3
banding,3
urut,3
ganti,3
kering,3
frekuensi,3
menu,3
kompeten,3
lelah,3
rawat,3
kulit,3
cegah,3
sumbat,3
rontgen,3
sungguh,3
tumbuh,3
jadwal,3
gerd,3
ganas,3
kecuali,3
lokasi,3
sindrom,3
serius,3
gastroenteritis,3
wajah,3
irritable,3
testis,3
produksi,3
nyata,3
program,3
bowel,3
indikasi,3
laboratorium,3
malu,3
ct,3
sedia,3
liang,3
tegak,3
campur,3
asupan,3
kelenjar,3
tulang,3
hipertensi,3
bening,3
penuh,3
tiroid,3
ejakulat,3
trimester,3
nutrisi,3
istri,3
resiko,3
buruk,3
scan,3
pegal,3
ikan,3
nikel,3
nafsu,3
kisar,3
alat,3
leher,3
kerap,3
muntah,3
teliti,3
kantung,3
pusing,3
jalar,2
telat,2
total,2
susah,2
mg,2
liput,2
rangkai,2
proses,2
tumpuk,2
menstrual,2
selesai,2
mundur,2
jarak,2
bengkak,2
gigi,2
patok,2
abses,2
anemia,2
kadang,2
refluks,2
jangka,2
pmk,2
sisi,2
massa,2
bercak,2
karbohidrat,2
bebas,2
peluang,2
mioma,2
sifilis,2
ejan,2
bersih,2
metronidazole,2
luruh,2
jelang,2
selaput,2
kakak,2
potensi,2
kortikosteroid,2
salin,2
implan,2
sensasi,2
ketidakteraturan,2
april,2
rencana,2
mandul,2
tukak,2
terkadang,2
obstruktif,2
kalnex,2
vaginitis,2
minimal,2
positif,2
data,2
lepas,2
kurus,2
padat,2
negatif,2
sinusitis,2
ureter,2
lengket,2
ajar,2
bahasa,2
olahraga,2
jamur,2
kuat,2
cetus,2
cabut,2
iring,2
pagi,2
sc,2
adik,2
awas,2
gaya,2
menggangu,2
keringat,2
anyang,2
anggap,2
jerawat,2
wawancara,2
flu,2
prostat,2
psikologis,2
kalender,2
bakar,2
zat,2
lawan,2
masyarakat,2
nampak,2
aktivitas,2
bermerk,2
malam,2
hb,2
onani,2
miksi,2
kunyit,2
konstipasi,2
seling,2
diagnosa,2
kotor,2
luas,2
kembang,2
impoten,2
pikir,2
kilas,2
lendir,2
miom,2
rentang,2
harap,2
puasa,2
beku,2
mineral,2
prinsip,2
sekunder,2
coba,2
apd,2
jarang,2
libat,2
caesarean,2
sembelit,2
muda,2
utara,2
tua,2
keruh,2
hindar,2
paha,2
halus,2
rewel,2
benjol,2
eksplorasi,2
sectio,2
takut,2
tunggu,2
cocok,2
kosong,2
sendok,2
mesti,2
masturbasi,2
gizi,2
lapis,2
corona,2
paham,2
reda,2
ancam,2
jepit,2
gesek,2
laktulosa,2
pijat,2
amenore,2
artikel,2
kaki,2
genetik,2
jingga,2
pusar,2
kombinasi,2
napas,2
tifus,2
deteksi,2
ulu,2
ibs,2
sariawan,2
parah,2
tunda,2
rekan,2
jaga,2
sistem,2
rusuk,2
geser,2
tanggap,1
dunia,1
kasur,1
belebihan,1
rekomendasi,1
tempel,1
upaya,1
pcos,1
jabar,1
amis,1
otak,1
kreatinin,1
trombosit,1
sebelumya,1
gelombang,1
foreplay,1
rentan,1
rangsang,1
kalori,1
kemungkinannnya,1
hepatitis,1
skrotum,1
coklat,1
kekuhan,1
daging,1
info,1
konjungtivitis,1
sebar,1
metformin,1
pulai,1
komplikasi,1
edema,1
anatomis,1
biasaya,1
erti,1
diskusi,1
mati,1
perlahan,1
tolerir,1
emosional,1
rutin,1
urat,1
suap,1
situ,1
balas,1
aptt,1
detail,1
agustus,1
hidatidosa,1
lantar,1
sufor,1
garis,1
sendawa,1
mekanisme,1
ketiak,1
oral,1
trikomoniasis,1
suara,1
beban,1
presepsi,1
haus,1
pintu,1
cidera,1
pirazinamide,1
abnormal,1
buku,1
nsaid,1
relatif,1
antuk,1
tinja,1
intensitas,1
tuba,1
rambut,1
prima,1
variasi,1
matahari,1
pra,1
aspirasi,1
sirup,1
nya,1
sengaja,1
ganda,1
inisiatif,1
stop,1
tatalaksana,1
wajib,1
kualitas,1
bola,1
disease,1
biaya,1
lecet,1
berisik,1
jamu,1
anjar,1
bblr,1
dagang,1
colobomas,1
kirim,1
sayang,1
mudah,1
pupil,1
sindroma,1
lai,1
apoteker,1
pcr,1
higiene,1
pantat,1
toilet,1
mengelurakan,1
meriang,1
vitamin,1
divertikulitis,1
dewasa,1
bg,1
esophagus,1
eradikasi,1
cepat,1
efektivitas,1
habis,1
pms,1
indung,1
remeh,1
halang,1
celaka,1
uteri,1
tera,1
ektopik,1
kaldu,1
trombositopenia,1
taksir,1
apendisitis,1
rapuh,1
maret,1
pedas,1
endometrium,1
depth,1
sekret,1
sejati,1
matang,1
ereksi,1
blighted,1
sayat,1
tablet,1
silah,1
proginova,1
kondom,1
atrofi,1
ketidakcocokan,1
gastritis,1
gen,1
gastropati,1
inflammatory,1
topikal,1
selangkang,1
ditindaklanjuti,1
pemeriksan,1
harga,1
hernia,1
antinyei,1
oralit,1
batin,1
gigil,1
seragam,1
periode,1
lokal,1
ranitidine,1
encer,1
menanyakanya,1
logis,1
singkir,1
hilang,1
hirau,1
adaptasi,1
lancar,1
pankreas,1
debu,1
telan,1
salep,1
kaku,1
lubrikasi,1
microl,1
mola,1
tidur,1
shock,1
herbal,1
kesan,1
bantal,1
sensitif,1
seringkali,1
kacau,1
gores,1
isotretinoin,1
substansi,1
hancur,1
lab,1
carona,1
citra,1
ceria,1
sempurna,1
ambroxol,1
empedu,1
rheumatoid,1
scrotum,1
sumber,1
nanah,1
cadang,1
pink,1
bersin,1
jingaan,1
termometer,1
ramu,1
laki,1
senang,1
farikha,1
toleransi,1
tengkorak,1
ketimbang,1
kianpi,1
stimulasi,1
mm,1
rangkak,1
suntuk,1
spesifik,1
fokus,1
ureterorenoscopy,1
efektif,1
cemas,1
indeks,1
ketat,1
daya,1
andansudah,1
hanyala,1
apotek,1
higenitas,1
dehidrasi,1
implantasi,1
mengonsumi,1
lithotripsy,1
alih,1
kornea,1
februari,1
simpan,1
subyektifitas,1
progesteron,1
kafein,1
lahap,1
mint,1
hak,1
pinggul,1
tenggorkan,1
lantas,1
bekas,1
parenteral,1
ejakulasi,1
pubis,1
kenal,1
bubur,1
syaraf,1
tetrasiklin,1
kekhwatiran,1
selamat,1
prematur,1
simpul,1
lumbal,1
range,1
infromatif,1
ganglion,1
cyclo,1
fatal,1
antigen,1
kontradiktif,1
antihistamin,1
lingkung,1
menit,1
dinding,1
hypomenorrhea,1
colostrum,1
kembung,1
diagnostik,1
tarik,1
intoleransi,1
urologi,1
wabah,1
urethritis,1
traneksamat,1
mental,1
kumpul,1
bladder,1
ciri,1
istilah,1
kopi,1
benang,1
dar,1
sayur,1
retinoid,1
paracetamol,1
pt,1
dominan,1
konteks,1
sorot,1
wortel,1
duduk,1
flek,1
obstruksi,1
dispepsia,1
skoring,1
ovum,1
extracorporeal,1
anjak,1
wenang,1
tebal,1
ekg,1
sifat,1
sasar,1
moga,1
telusur,1
urs,1
asuransi,1
jus,1
anamnesis,1
test,1
postinor,1
stretch,1
lindung,1
ekstrim,1
abuan,1
abortus,1
menganggu,1
berkonsutlasi,1
cenderung,1
bangun,1
lupa,1
tenggok,1
botol,1
swab,1
hematuria,1
stabil,1
perimenopause,1
pneumonia,1
zinc,1
kemas,1
serap,1
stent,1
cokelat,1
menanganai,1
drastis,1
bedah,1
komentar,1
bibir,1
bpjs,1
kg,1
wave,1
diet,1
tilik,1
mentruasi,1
menganalisa,1
antimikroba,1
kenyang,1
tips,1
dj,1
bewarna,1
disorder,1
tulis,1
masif,1
sendi,1
pelancar,1
kumur,1
langkah,1
polusi,1
kaleng,1
selsius,1
takar,1
komplit,1
interpretasi,1
fisiologis,1
wasir,1
pipis,1
pleuritis,1
prediksi,1
busuk,1
arthritis,1
modifikasi,1
persis,1
kolik,1
bulat,1
sesar,1
tahap,1
dengar,1
signifikan,1
cacat,1
panik,1
kram,1
disentri,1
pelvis,1
gastroesophageal,1
saraf,1
hambat,1
pilih,1
ureum,1
plastik,1
kolesterol,1
protein,1
varises,1
pendek,1
skrining,1
fase,1
hipoglikemia,1
ikat,1
tara,1
limpa,1
akurat,1
kuatir,1
herpes,1
malas,1
fibroid,1
pompa,1
sebentar,1
vertigo,1
ray,1
asma,1
lumas,1
kendala,1
pengkuran,1
perempuan,1
letih,1
saring,1
dll,1
sedak,1
koreksi,1
ketidakseimbangan,1
melulu,1
tepi,1
folat,1
mark,1
pindah,1
lembut,1
overactive,1
ap,1
tunggal,1
cm,1
laras,1
jelek,1
eswl,1
emosi,1
klinis,1
malapsorbsi,1
kolera,1
garam,1
sempit,1
kapasitas,1
memugnkinkan,1
cc,1
leukosit,1
rongga,1
diuretik,1
tipis,1
merk,1
mengkonfirmasikan,1
teman,1
pria,1
berfikir,1
putus,1
trauma,1
selang,1
memeperparah,1
uterus,1
jiwa,1
calon,1
apus,1
spektrum,1
rujuk,1
migrain,1
antimual,1
anus,1
rapid,1
reflux,1
niat,1
abdomen,1
kategori,1
obesitas,1
hemoglobin,1
beliau,1
kursi,1
catat,1
urai,1
keratitis,1
eritrosit,1
konsistensi,1
imt,1
oligomenorrhea,1
september,1
alternatif,1
orgasme,1
salisilat,1
tangis,1
repson,1
mandiri,1
inflamasi,1
rifampicin,1
lemah,1
saudari,1
klik,1
umur,1
prostatitis,1
hangat,1
